name,backbone,pooling,split_strategy,target,seed,era,n_test,mae,rmse,me,mape,r2
replication_densenet201_augmented,densenet201,grid3,augmented,raw,42,replication,420,3.7674932752336776,4.748446012477886,-1.1295345488048736,5.843645363122297,0.9816678461444428
replication_densenet201_image,densenet201,grid3,image,raw,42,replication,425,5.772721095926621,8.044332209326287,0.1588479922799503,9.239450549265989,0.9514187865368704
replication_densenet201_patient,densenet201,grid3,patient,raw,42,replication,700,7.755331679752895,10.2879286751028,-3.058233759743827,11.39935792725634,0.9188500519925962
replication_inceptionv3_augmented,inceptionv3,grid2,augmented,raw,42,replication,420,8.355132949919927,10.443453669224793,-2.2355592387063163,11.699043008539023,0.9113254949705856
replication_inceptionv3_image,inceptionv3,grid2,image,raw,42,replication,425,10.114316157172707,13.310301523789873,-0.7499063043033376,14.13326348457156,0.8669961687870876
replication_inceptionv3_patient,inceptionv3,grid2,patient,raw,42,replication,700,18.419267448357175,25.30624177332868,-12.429645010743824,27.7795447216826,0.5089930240177789
replication_resnet50_augmented,resnet50,grid2,augmented,raw,42,replication,420,8.967248635064989,11.623439626273234,-3.103212601797922,12.754291287018429,0.8901551215770943
replication_resnet50_image,resnet50,grid2,image,raw,42,replication,425,10.424125910366282,14.391392474976817,-3.045569643132827,15.960450840612737,0.8445130309327906
replication_resnet50_patient,resnet50,grid2,patient,raw,42,replication,700,22.562255038895778,36.22001262868424,-15.62132690125278,35.0016652851482,-0.0058415026524987
replication_vgg19_augmented,vgg19,grid2,augmented,raw,42,replication,420,11.665122222616558,17.7742777375655,-1.6086279730002084,18.012346783553955,0.7431412242019961
replication_vgg19_image,vgg19,grid2,image,raw,42,replication,425,12.738835415349287,18.04374049229942,-0.2167063654871548,18.137771241143422,0.7555773163125088
replication_vgg19_patient,vgg19,grid2,patient,raw,42,replication,700,30.9606051157202,47.48074655415072,-9.779007466009684,50.22672669691374,-0.7284922406826528
replication_xception_augmented,xception,grid2,augmented,raw,42,replication,420,7.913452325832276,11.203452077924563,-1.7362680392605918,11.995604860929754,0.89794971878127
replication_xception_image,xception,grid2,image,raw,42,replication,425,10.514774192922255,14.226560582333455,-3.352695075203391,14.840846235266406,0.8480543754247027
replication_xception_patient,xception,grid2,patient,raw,42,replication,700,15.56831258884498,21.854977400277463,-7.231629282832146,23.302745940438907,0.6337875708852343
scratch_cnn_patient,cnn_scratch,grid2,patient,raw,42,era2019,700,86.05673306099006,93.30649213450434,-86.05673306099006,100.7529525343169,-5.675073948971129
scratch_cnn_augmented,cnn_scratch,grid2,augmented,raw,42,era2019,420,86.91723296855177,93.70044127619867,-86.91723296855177,101.61832453841674,-6.138282914325659
tuned_densenet201_patient,densenet201,grid3,patient,raw,42,replication,700,7.341867891039168,10.972697342244537,-4.905482850755964,8.902132351091224,0.9076877881208356
tuned_densenet201_image,densenet201,grid3,augmented,raw,42,replication,420,2.8151669593084425,3.743004674133952,-0.6809024492899577,3.722693656561189,0.988609278776522
tuned_resnet50_patient,resnet50,grid2,patient,raw,42,replication,700,7.04360655103411,9.157575445283127,-0.8643194144112724,9.953477582521062,0.9357026065877756
tuned_resnet50_image,resnet50,grid2,augmented,raw,42,replication,420,3.0871719678243,3.9073731150492024,-0.4376195498875209,4.088285579841685,0.9875869000555104
tuned_vgg19_patient,vgg19,grid2,patient,raw,42,replication,700,9.3461748954228,11.61043466462291,-0.8382040854862758,13.050208882223709,0.8966455180798278
tuned_vgg19_image,vgg19,grid2,augmented,raw,42,replication,420,4.200793130057199,5.550201896317118,-0.3838845570882161,5.507832610836396,0.9749545956789424
tuned_xception_patient,xception,grid2,patient,raw,42,replication,700,8.207975254058837,10.801732267010353,0.2075268200465611,11.23663219659722,0.9105420022097498
tuned_xception_image,xception,grid2,augmented,raw,42,replication,420,4.5459393183390295,5.942204342937477,0.7439334869384766,6.216412677466781,0.9712918207654044
tuned_inceptionv3_patient,inceptionv3,grid2,patient,raw,42,replication,700,9.275313200269428,12.098771817965304,0.467318297794887,13.005758036019364,0.8877684583366281
tuned_inceptionv3_image,inceptionv3,grid2,augmented,raw,42,replication,420,4.292733823685419,5.576938855397363,-1.118402676355271,5.645819823375881,0.9747127122719064
